mc,icpsrLegis,seniority,congress
PRESSLER (R SD),14268,1,97
TSONGAS (D MA),14279,1,97
BOREN (D OK),14700,1,97
BOSCHWITZ (R MN),14701,2,97
BRADLEY (D NJ),14702,1,97
EXON (D NE),14704,1,97
HEFLIN (D AL),14705,1,97
HUMPHREY (R NH),14706,1,97
JEPSEN (R IA),14707,1,97
KASSEBAUM (R KS),14708,1,97
LEVIN (D MI),14709,1,97
SIMPSON (R WY),14710,1,97
WARNER (R VA),14712,1,97
MITCHELL (D ME),14713,1,97
ANDREWS (R ND),10569,0,97
ABDNOR (R SD),14000,0,97
SYMMS (R ID),14056,0,97
DODD (D CT),14213,0,97
GRASSLEY (R IA),14226,0,97
KASTEN (R WI),14242,0,97
QUAYLE (R IN),14447,0,97
D'AMATO (R NY),14900,0,97
DENTON (R AL),14901,0,97
DIXON (D IL),14902,0,97
EAST (R NC),14903,0,97
GORTON (R WA),14904,0,97
HAWKINS (R FL),14905,0,97
MATTINGLY (R GA),14906,0,97
MURKOWSKI (R AK),14907,0,97
NICKLES (R OK),14908,0,97
RUDMAN (R NH),14909,1,97
SPECTER (R PA),14910,0,97
BRADY (R NJ),14911,0,97
MAGNUSON (D WA),5913,18,96
YOUNG (R ND),10450,17,96
STENNIS (D MS),8883,16,96
GOLDWATER (R AZ),3658,5,96
JACKSON (D WA),4851,13,96
THURMOND (R SC),9369,13,96
CHURCH (D ID),1721,11,96
JAVITS (R NY),4898,11,96
PROXMIRE (D WI),7638,11,96
TALMADGE (D GA),9174,11,96
RANDOLPH (D WV),7722,11,96
BYRD (D WV),1366,10,96
CANNON (D NV),1482,10,96
MUSKIE (D ME),6831,10,96
WILLIAMS (D NJ),10147,10,96
BURDICK (D ND),1252,10,96
PELL (D RI),10818,9,96
TOWER (R TX),10823,9,96
KENNEDY (D MA),10808,9,96
INOUYE (D HI),4812,8,96
MCGOVERN (D SD),6256,8,96
RIBICOFF (D CT),7847,8,96
BAYH (D IN),10800,8,96
NELSON (D WI),10816,8,96
BYRD (Indep VA),10802,7,96
LONG (D LA),5767,16,96
HOLLINGS (D SC),11204,7,96
BAKER (R TN),11200,6,96
HATFIELD (R OR),11203,6,96
PERCY (R IL),11205,6,96
STEVENS (R AK),12109,6,96
DOLE (R KS),10513,5,96
MATHIAS (R MD),10535,5,96
SCHWEIKER (R PA),10557,5,96
BELLMON (R OK),12101,5,96
CRANSTON (D CA),12103,5,96
EAGLETON (D MO),12104,5,96
GRAVEL (D AK),12105,5,96
PACKWOOD (R OR),12107,5,96
STEVENSON (D IL),13102,5,96
BENTSEN (D TX),660,4,96
STAFFORD (R VT),10562,4,96
ROTH (R DE),11044,4,96
WEICKER (R CT),12032,4,96
CHILES (D FL),13101,4,96
JOHNSTON (D LA),14107,4,96
MCCLURE (R ID),11029,3,96
BIDEN (D DE),14101,3,96
DOMENICI (R NM),14103,3,96
HELMS (R NC),14105,3,96
HUDDLESTON (D KY),14106,3,96
NUNN (D GA),14108,3,96
METZENBAUM (D OH),14073,2,96
FORD (D KY),14302,3,96
GARN (R UT),14303,3,96
GLENN (D OH),14304,3,96
CULVER (D IA),10715,2,96
LAXALT (R NV),14077,3,96
BUMPERS (D AR),14300,2,96
HART (D CO),14305,2,96
LEAHY (D VT),14307,2,96
MORGAN (D NC),14308,2,96
STONE (D FL),14309,2,96
DURKIN (D NH),14310,2,96
CHAFEE (R RI),14500,2,96
ZORINSKY (D NE),14512,2,96
MATSUNAGA (D HI),10605,1,96
RIEGLE (D MI),11043,1,96
MELCHER (D MT),12039,1,96
SARBANES (D MD),13039,1,96
HEINZ (R PA),13050,1,96
DANFORTH (R MO),14501,2,96
DECONCINI (D AZ),14502,1,96
HATCH (R UT),14503,1,96
HAYAKAWA (R CA),14504,1,96
LUGAR (R IN),14506,1,96
MOYNIHAN (D NY),14508,1,96
SASSER (D TN),14509,1,96
SCHMITT (R NM),14510,1,96
WALLOP (R WY),14511,1,96
COCHRAN (R MS),14009,1,96
BAUCUS (D MT),14203,1,96
DURENBERGER (R MN),14703,1,96
STEWART (D AL),14711,1,96
PRYOR (D AR),10791,0,96
ARMSTRONG (R CO),14002,0,96
COHEN (R ME),14010,0,96
PRESSLER (R SD),14268,0,96
TSONGAS (D MA),14279,0,96
BOREN (D OK),14700,0,96
BOSCHWITZ (R MN),14701,0,96
BRADLEY (D NJ),14702,0,96
EXON (D NE),14704,0,96
HEFLIN (D AL),14705,0,96
HUMPHREY (R NH),14706,0,96
JEPSEN (R IA),14707,0,96
KASSEBAUM (R KS),14708,0,96
LEVIN (D MI),14709,0,96
SIMPSON (R WY),14710,0,96
WARNER (R VA),14712,0,96
MITCHELL (D ME),14713,0,96
EASTLAND (D MS),2822,17,95
MCCLELLAN (D AR),6151,17,95
MAGNUSON (D WA),5913,17,95
YOUNG (R ND),10450,16,95
SPARKMAN (D AL),8764,16,95
STENNIS (D MS),8883,15,95
HUMPHREY (D MN),4728,3,95
GOLDWATER (R AZ),3658,4,95
JACKSON (D WA),4851,12,95
THURMOND (R SC),9369,12,95
CASE (R NJ),1569,11,95
CURTIS (R NE),2267,11,95
CHURCH (D ID),1721,10,95
JAVITS (R NY),4898,10,95
PROXMIRE (D WI),7638,10,95
TALMADGE (D GA),9174,10,95
RANDOLPH (D WV),7722,10,95
BYRD (D WV),1366,9,95
CANNON (D NV),1482,9,95
MUSKIE (D ME),6831,9,95
WILLIAMS (D NJ),10147,9,95
BARTLETT (R OK),14100,2,95
BURDICK (D ND),1252,9,95
METCALF (D MT),6442,8,95
PELL (D RI),10818,8,95
TOWER (R TX),10823,8,95
KENNEDY (D MA),10808,8,95
MCINTYRE (D NH),10810,8,95
PEARSON (R KS),10817,8,95
INOUYE (D HI),4812,7,95
MCGOVERN (D SD),6256,7,95
RIBICOFF (D CT),7847,7,95
BAYH (D IN),10800,7,95
NELSON (D WI),10816,7,95
BYRD (Indep VA),10802,6,95
GRIFFIN (R MI),3824,6,95
LONG (D LA),5767,15,95
HOLLINGS (D SC),11204,6,95
BAKER (R TN),11200,5,95
BROOKE (R MA),11201,5,95
HANSEN (R WY),11202,5,95
HATFIELD (R OR),11203,5,95
PERCY (R IL),11205,5,95
STEVENS (R AK),12109,5,95
DOLE (R KS),10513,4,95
MATHIAS (R MD),10535,4,95
SCHWEIKER (R PA),10557,4,95
ALLEN (D AL),12100,4,95
BELLMON (R OK),12101,4,95
CRANSTON (D CA),12103,4,95
EAGLETON (D MO),12104,4,95
GRAVEL (D AK),12105,4,95
PACKWOOD (R OR),12107,4,95
STEVENSON (D IL),13102,4,95
BENTSEN (D TX),660,3,95
STAFFORD (R VT),10562,3,95
ROTH (R DE),11044,3,95
WEICKER (R CT),12032,3,95
CHILES (D FL),13101,3,95
JOHNSTON (D LA),14107,3,95
HATHAWAY (D ME),10736,2,95
MCCLURE (R ID),11029,2,95
SCOTT (R VA),11048,2,95
ABOUREZK (D SD),13000,2,95
BIDEN (D DE),14101,2,95
CLARK (D IA),14102,2,95
DOMENICI (R NM),14103,2,95
HASKELL (D CO),14104,2,95
HELMS (R NC),14105,2,95
HUDDLESTON (D KY),14106,2,95
NUNN (D GA),14108,3,95
METZENBAUM (D OH),14073,1,95
FORD (D KY),14302,2,95
GARN (R UT),14303,2,95
GLENN (D OH),14304,2,95
CULVER (D IA),10715,1,95
LAXALT (R NV),14077,1,95
BUMPERS (D AR),14300,1,95
HART (D CO),14305,1,95
LEAHY (D VT),14307,1,95
MORGAN (D NC),14308,1,95
STONE (D FL),14309,1,95
DURKIN (D NH),14310,1,95
CHAFEE (R RI),14500,1,95
ZORINSKY (D NE),14512,1,95
ANDERSON (D MN),14513,1,95
MATSUNAGA (D HI),10605,0,95
RIEGLE (D MI),11043,0,95
MELCHER (D MT),12039,0,95
SARBANES (D MD),13039,0,95
HEINZ (R PA),13050,0,95
DANFORTH (R MO),14501,0,95
DECONCINI (D AZ),14502,0,95
HATCH (R UT),14503,0,95
HAYAKAWA (R CA),14504,0,95
LUGAR (R IN),14506,0,95
MOYNIHAN (D NY),14508,0,95
SASSER (D TN),14509,0,95
SCHMITT (R NM),14510,0,95
WALLOP (R WY),14511,0,95
HODGES (D AR),14514,0,95
HATFIELD (D MT),14515,0,95
HUMPHREY (D MN) 14516,14516,0,95
ALLEN (D AL) 14517,14517,0,95
EASTLAND (D MS),2822,16,94
MCCLELLAN (D AR),6151,16,94
MAGNUSON (D WA),5913,16,94
YOUNG (R ND),10450,15,94
SPARKMAN (D AL),8764,15,94
STENNIS (D MS),8883,14,94
HUMPHREY (D MN),4728,2,94
PASTORE (D RI),7229,13,94
GOLDWATER (R AZ),3658,3,94
JACKSON (D WA),4851,11,94
MANSFIELD (D MT),5967,11,94
SYMINGTON (D MO),9141,11,94
COTTON (R NH),2087,0,94
HRUSKA (R NE),4660,11,94
THURMOND (R SC),9369,11,94
CASE (R NJ),1569,10,94
CURTIS (R NE),2267,10,94
CHURCH (D ID),1721,9,94
JAVITS (R NY),4898,9,94
PROXMIRE (D WI),7638,9,94
TALMADGE (D GA),9174,9,94
RANDOLPH (D WV),7722,9,94
BYRD (D WV),1366,8,94
CANNON (D NV),1482,8,94
FONG (R HI),3255,8,94
HART (D MI),4148,8,94
HARTKE (D IN),4154,8,94
MCGEE (D WY),6249,8,94
MOSS (D UT),6754,8,94
MUSKIE (D ME),6831,8,94
SCOTT (R PA),8301,8,94
WILLIAMS (D NJ),10147,8,94
BARTLETT (R OK),14100,1,94
BURDICK (D ND),1252,8,94
METCALF (D MT),6442,7,94
PELL (D RI),10818,7,94
TOWER (R TX),10823,7,94
KENNEDY (D MA),10808,7,94
MCINTYRE (D NH),10810,7,94
PEARSON (R KS),10817,7,94
INOUYE (D HI),4812,6,94
MCGOVERN (D SD),6256,6,94
RIBICOFF (D CT),7847,6,94
BAYH (D IN),10800,6,94
NELSON (D WI),10816,6,94
MONTOYA (D NM),6611,6,94
MONDALE (D MN),10813,6,94
BYRD (Indep VA),10802,5,94
FANNIN (R AZ),10804,5,94
GRIFFIN (R MI),3824,5,94
LONG (D LA),5767,14,94
HOLLINGS (D SC),11204,5,94
BAKER (R TN),11200,4,94
BROOKE (R MA),11201,4,94
HANSEN (R WY),11202,4,94
HATFIELD (R OR),11203,4,94
PERCY (R IL),11205,4,94
STEVENS (R AK),12109,4,94
DOLE (R KS),10513,3,94
MATHIAS (R MD),10535,3,94
SCHWEIKER (R PA),10557,3,94
ALLEN (D AL),12100,3,94
BELLMON (R OK),12101,3,94
CRANSTON (D CA),12103,3,94
EAGLETON (D MO),12104,3,94
GRAVEL (D AK),12105,3,94
PACKWOOD (R OR),12107,3,94
STEVENSON (D IL),13102,3,94
BENTSEN (D TX),660,2,94
STAFFORD (R VT),10562,2,94
BROCK (R TN),10571,2,94
TAFT (R OH),10630,2,94
TUNNEY (D CA),10777,2,94
ROTH (R DE),11044,2,94
BEALL (R MD),12002,2,94
WEICKER (R CT),12032,2,94
BUCKLEY (Conservative NY),13100,2,94
CHILES (D FL),13101,2,94
JOHNSTON (D LA),14107,2,94
HATHAWAY (D ME),10736,1,94
MCCLURE (R ID),11029,1,94
SCOTT (R VA),11048,1,94
ABOUREZK (D SD),13000,1,94
BIDEN (D DE),14101,1,94
CLARK (D IA),14102,1,94
DOMENICI (R NM),14103,1,94
HASKELL (D CO),14104,1,94
HELMS (R NC),14105,1,94
HUDDLESTON (D KY),14106,1,94
NUNN (D GA),14108,1,94
FORD (D KY),14302,1,94
GARN (R UT),14303,1,94
GLENN (D OH),14304,1,94
CULVER (D IA),10715,0,94
LAXALT (R NV),14077,1,94
BUMPERS (D AR),14300,0,94
HART (D CO),14305,0,94
LEAHY (D VT),14307,0,94
MORGAN (D NC),14308,0,94
STONE (D FL),14309,0,94
DURKIN (D NH),14310,0,94
METZENBAUM (D OH),14073,0,94
AIKEN (R VT),52,16,93
EASTLAND (D MS),2822,15,93
MCCLELLAN (D AR),6151,15,93
MAGNUSON (D WA),5913,15,93
FULBRIGHT (D AR),3388,14,93
YOUNG (R ND),10450,14,93
SPARKMAN (D AL),8764,14,93
STENNIS (D MS),8883,13,93
HUMPHREY (D MN),4728,1,93
PASTORE (D RI),7229,12,93
BENNETT (R UT),645,11,93
GOLDWATER (R AZ),3658,2,93
JACKSON (D WA),4851,10,93
MANSFIELD (D MT),5967,10,93
SYMINGTON (D MO),9141,10,93
BIBLE (D NV),688,10,93
COTTON (R NH),2087,10,93
ERVIN (D NC),2987,10,93
HRUSKA (R NE),4660,10,93
THURMOND (R SC),9369,10,93
CASE (R NJ),1569,9,93
CURTIS (R NE),2267,9,93
CHURCH (D ID),1721,8,93
JAVITS (R NY),4898,8,93
PROXMIRE (D WI),7638,8,93
TALMADGE (D GA),9174,8,93
RANDOLPH (D WV),7722,8,93
BYRD (D WV),1366,7,93
CANNON (D NV),1482,7,93
FONG (R HI),3255,7,93
HART (D MI),4148,7,93
HARTKE (D IN),4154,7,93
MCGEE (D WY),6249,7,93
MOSS (D UT),6754,7,93
MUSKIE (D ME),6831,7,93
SCOTT (R PA),8301,7,93
WILLIAMS (D NJ),10147,7,93
BARTLETT (R OK),14100,0,93
BURDICK (D ND),1252,6,93
METCALF (D MT),6442,6,93
PELL (D RI),10818,6,93
TOWER (R TX),10823,6,93
KENNEDY (D MA),10808,6,93
MCINTYRE (D NH),10810,6,93
PEARSON (R KS),10817,6,93
INOUYE (D HI),4812,5,93
MCGOVERN (D SD),6256,5,93
RIBICOFF (D CT),7847,5,93
DOMINICK (R CO),10514,5,93
BAYH (D IN),10800,5,93
NELSON (D WI),10816,5,93
MONTOYA (D NM),6611,5,93
MONDALE (D MN),10813,5,93
BYRD (Indep VA),10802,4,93
FANNIN (R AZ),10804,4,93
GRIFFIN (R MI),3824,4,93
LONG (D LA),5767,13,93
HOLLINGS (D SC),11204,4,93
BAKER (R TN),11200,3,93
BROOKE (R MA),11201,3,93
HANSEN (R WY),11202,3,93
HATFIELD (R OR),11203,3,93
PERCY (R IL),11205,3,93
COOK (R KY),12102,3,93
STEVENS (R AK),12109,3,93
DOLE (R KS),10513,2,93
MATHIAS (R MD),10535,2,93
SCHWEIKER (R PA),10557,2,93
GURNEY (R FL),10593,2,93
ALLEN (D AL),12100,2,93
BELLMON (R OK),12101,2,93
CRANSTON (D CA),12103,2,93
EAGLETON (D MO),12104,3,93
GRAVEL (D AK),12105,2,93
HUGHES (D IA),12106,2,93
PACKWOOD (R OR),12107,2,93
SAXBE (R OH),12108,2,93
STEVENSON (D IL),13102,2,93
BENTSEN (D TX),660,1,93
STAFFORD (R VT),10562,1,93
BROCK (R TN),10571,1,93
TAFT (R OH),10630,1,93
TUNNEY (D CA),10777,1,93
ROTH (R DE),11044,1,93
BEALL (R MD),12002,1,93
WEICKER (R CT),12032,1,93
BUCKLEY (Conservative NY),13100,1,93
CHILES (D FL),13101,1,93
JOHNSTON (D LA),14107,1,93
HATHAWAY (D ME),10736,0,93
MCCLURE (R ID),11029,0,93
SCOTT (R VA),11048,0,93
ABOUREZK (D SD),13000,0,93
BIDEN (D DE),14101,0,93
CLARK (D IA),14102,0,93
DOMENICI (R NM),14103,0,93
HASKELL (D CO),14104,0,93
HELMS (R NC),14105,0,93
HUDDLESTON (D KY),14106,0,93
NUNN (D GA),14108,1,93
METZENBAUM (D OH),14073,0,93
LAXALT (R NV),14077,0,93
