mc,icpsrLegis,seniority,congress
SARBANES (D MD),13039,14,109
HATCH (R UT),14503,14,109
LUGAR (R IN),14506,14,109
COCHRAN (R MS),14009,14,109
BAUCUS (D MT),14203,14,109
LEVIN (D MI),14709,13,109
WARNER (R VA),14712,13,109
DODD (D CT),14213,12,109
GRASSLEY (R IA),14226,12,109
SPECTER (R PA),14910,12,109
LAUTENBERG (D NJ),14914,1,109
BINGAMAN (D NM),14912,11,109
HARKIN (D IA),14230,10,109
KERRY (D MA),14920,10,109
MCCONNELL (R KY),14921,10,109
ROCKEFELLER (D WV),14922,10,109
MIKULSKI (D MD),14440,9,109
MCCAIN (R AZ),15039,9,109
REID (D NV),15054,9,109
BOND (R MO),15501,9,109
CONRAD (D ND),15502,9,109
SHELBY (R AL),94659,9,109
LOTT (R MS),14031,8,109
BURNS (R MT),15701,8,109
KOHL (D WI),15703,8,109
LIEBERMAN (D CT),15704,8,109
JEFFORDS (Indep VT),94240,8,109
AKAKA (D HI),14400,8,109
CRAIG (R ID),14809,7,109
DORGAN (D ND),14812,7,109
FEINSTEIN (D CA),49300,7,109
GREGG (R NH),14826,6,109
BOXER (D CA),15011,6,109
HUTCHISON (R TX),49306,6,109
BENNETT (R UT),49307,6,109
MURRAY (D WA),49308,6,109
FEINGOLD (D WI),49309,6,109
INHOFE (R OK),15424,6,109
SNOWE (R ME),14661,5,109
DEWINE (R OH),15020,5,109
KYL (R AZ),15429,5,109
THOMAS (R WY),15633,5,109
SANTORUM (R PA),29141,5,109
FRIST (R TN),49502,5,109
WYDEN (D OR),14871,5,109
BROWNBACK (R KS),29523,5,109
ROBERTS (R KS),14852,4,109
DURBIN (D IL),15021,4,109
JOHNSON (D SD),15425,4,109
ALLARD (R CO),29108,4,109
REED (D RI),29142,4,109
SESSIONS (R AL),49700,4,109
LANDRIEU (D LA),49702,4,109
COLLINS (R ME),49703,4,109
HAGEL (R NE),49704,4,109
SMITH (R OR),49705,4,109
ENZI (R WY),49706,4,109
SCHUMER (D NY),14858,3,109
BUNNING (R KY),15406,3,109
LINCOLN (D AR),29305,3,109
CRAPO (R ID),29345,3,109
BAYH (D IN),49901,3,109
VOINOVICH (R OH),49903,3,109
CHAFEE (R RI),49905,3,109
NELSON (D FL),14651,2,109
CARPER (D DE),15015,2,109
ALLEN (R VA),29148,2,109
ENSIGN (R NV),29537,2,109
STABENOW (D MI),29732,2,109
CANTWELL (D WA),39310,2,109
DAYTON (D MN),40101,2,109
NELSON (D NE),40103,2,109
CORZINE (D NJ),40104,2,109
CLINTON (D NY),40105,2,109
TALENT (R MO),29369,2,109
MURKOWSKI (R AK),40300,2,109
CORNYN (R TX),40305,2,109
CHAMBLISS (R GA),29512,1,109
GRAHAM (R SC),29566,1,109
SUNUNU (R NH),29740,1,109
PRYOR (D AR),40301,1,109
